Customer_ID,Segment,Age,Gender,Occupation,Income_Band,Immigration_Status,Region,Household_Size,Relationship_Status,Years_With_Bank,Has_Direct_Deposit,Churn_Flag,Product_Count,Total_Balance,Monthly_Revenue,CLV_5yr,Primary_Bank_Score,Churn_Risk_Score,Churn_Risk_Tier,Churn_Probability_Model,Predicted_Churn,Model_Risk_Band,NPS_Score,CSAT_Score,Mobile_Usage_Score,Monthly_Logins
1000018,Young Professionals,28,Female,Accountant,$50K-$75K,Canadian Born,Brampton,3,Common-law,1.85,1,0,5.0,50178.96,326.77,12075.52,100.0,0.0,Low,0.17680119,0,Medium,45,3.8,81.8,21
1000019,Young Professionals,39,Female,Financial Analyst,$75K-$100K,Permanent Resident,Richmond Hill,4,Single,0.8,0,0,6.0,81085.98,544.62,20125.99,70.0,30.0,Medium,0.03469111,0,Low,45,3.0,78.8,24
1000020,Young Professionals,33,Female,Accountant,$50K-$75K,Canadian Born,Downtown Toronto,2,Widowed,4.03,0,0,4.0,489591.98,1454.8100000000002,53761.33,70.0,20.0,Low,0.40585023,1,High,45,3.0,88.6,21
1000021,Young Professionals,37,Female,HR Specialist,$75K-$100K,Canadian Born,Markham,3,Single,13.43,1,0,7.0,531504.4,2229.26,82380.5,85.0,0.0,Low,0.27660057,0,Medium,30,3.8,84.5,9
1000022,Young Professionals,30,Male,Marketing Manager,$50K-$75K,Canadian Born,Richmond Hill,1,Single,14.07,1,0,6.0,125320.3,1022.63,37790.47,100.0,0.0,Low,0.06889915,0,Low,6,3.7,83.0,32
1000023,Young Professionals,24,Female,Financial Analyst,$50K-$75K,Temporary Resident,Mississauga,1,Single,4.83,1,0,4.0,44915.88,264.28,9766.25,100.0,0.0,Low,0.2491507,0,Medium,37,3.2,89.5,11
1000024,Young Professionals,24,Female,Engineer,$100K-$150K,Temporary Resident,Mississauga,1,Common-law,2.05,1,0,4.0,61445.69,423.56,15652.32,100.0,0.0,Low,0.116793185,0,Low,62,2.9,82.1,31
1000025,Young Professionals,37,Female,Financial Analyst,$50K-$75K,Permanent Resident,Scarborough,2,Married,2.08,0,0,6.0,59310.21000000001,347.61,12845.65,70.0,20.0,Low,0.062465522,0,Low,58,3.1,93.1,32
1000026,Young Professionals,39,Female,HR Specialist,$50K-$75K,Permanent Resident,Downtown Toronto,1,Married,0.62,0,0,4.0,222850.27,548.2,20258.29,70.0,30.0,Medium,0.24028099,0,Medium,19,3.7,82.0,22
1000027,Young Professionals,26,Male,HR Specialist,$75K-$100K,Temporary Resident,Downtown Toronto,1,Common-law,12.11,0,0,4.0,45868.94,319.99,11824.97,70.0,20.0,Low,0.30563018,0,Medium,29,3.9,82.8,28
1000028,Young Professionals,29,Female,Accountant,$100K-$150K,Permanent Resident,Scarborough,2,Married,9.19,1,0,3.0,24971.89,82.96,3065.72,100.0,0.0,Low,0.25417915,0,Medium,70,3.1,91.1,21
1000029,Young Professionals,28,Male,Nurse,$100K-$150K,Temporary Resident,Markham,1,Single,3.91,1,0,6.0,87978.59,420.09,15524.09,100.0,0.0,Low,0.5149569,1,High,46,4.0,86.8,28
1000030,Young Professionals,27,Male,Sales Manager,$100K-$150K,Temporary Resident,Downtown Toronto,1,Single,4.83,1,1,6.0,439385.51,1608.66,59446.73,100.0,0.0,Low,0.6810162,1,Critical,46,3.8,86.5,22
1000031,Young Professionals,35,Male,Software Engineer,$75K-$100K,Permanent Resident,Brampton,2,Single,2.83,1,0,5.0,27350.59,114.8,4242.34,100.0,0.0,Low,0.23685525,0,Medium,41,4.0,99.9,19
1000032,Young Professionals,36,Male,Sales Manager,$100K-$150K,Canadian Born,North York,2,Married,0.89,1,0,7.0,75607.11,590.91,21836.6,100.0,10.0,Low,0.13535233,0,Low,29,4.5,91.4,30
1000033,Young Professionals,38,Female,Accountant,$50K-$75K,Canadian Born,Vaughan,1,Common-law,1.75,0,0,6.0,497229.85,1358.42,50199.31,70.0,20.0,Low,0.3013603,0,Medium,58,2.4,90.6,10
1000034,Young Professionals,29,Female,Sales Manager,$75K-$100K,Temporary Resident,Downtown Toronto,2,Married,11.75,0,0,5.0,84768.1,659.6,24374.99,55.0,20.0,Low,0.43670255,1,High,45,3.8,91.1,4
1000035,Young Professionals,36,Male,Nurse,$50K-$75K,Canadian Born,Etobicoke,2,Single,9.68,1,0,3.0,60530.15,381.1,14083.24,100.0,0.0,Low,0.24335505,0,Medium,56,3.5,87.8,19
1000036,Young Professionals,35,Female,Marketing Manager,$50K-$75K,Canadian Born,Vaughan,4,Married,5.85,1,0,6.0,91590.99,621.94,22983.29,100.0,0.0,Low,0.33449417,0,Medium,35,3.8,73.1,14
1000037,Young Professionals,39,Female,Sales Manager,$75K-$100K,Permanent Resident,Mississauga,1,Married,9.88,1,0,6.0,263679.82,980.01,36215.48,100.0,0.0,Low,0.53966457,1,High,17,3.0,67.6,16
1000038,Young Professionals,32,Female,Sales Manager,$75K-$100K,Canadian Born,Brampton,1,Divorced,2.2,1,0,5.0,93815.25,635.94,23500.65,100.0,0.0,Low,0.28180748,0,Medium,56,3.7,91.3,17
1000039,Young Professionals,26,Female,Sales Manager,$100K-$150K,Temporary Resident,Vaughan,1,Married,9.01,1,0,5.0,34552.03,306.41,11323.13,100.0,0.0,Low,0.14241813,0,Low,24,3.1,83.0,31
1000040,Young Professionals,26,Female,Financial Analyst,$75K-$100K,Permanent Resident,Mississauga,3,Common-law,8.58,1,0,3.0,30977.05,174.29,6440.75,100.0,0.0,Low,0.48373148,1,High,11,3.7,94.2,17
1000041,Young Professionals,26,Male,HR Specialist,$100K-$150K,Canadian Born,Brampton,2,Common-law,2.02,1,0,4.0,29614.67,224.12,8282.17,100.0,0.0,Low,0.14918296,0,Low,22,4.0,84.3,25
1000042,Young Professionals,35,Male,HR Specialist,$100K-$150K,Permanent Resident,Scarborough,1,Single,11.5,0,0,5.0,71536.29000000001,402.86,14887.37,70.0,20.0,Low,0.2827284,0,Medium,27,3.7,70.8,17
1000043,Young Professionals,35,Female,Nurse,$100K-$150K,Temporary Resident,Markham,2,Single,11.01,0,0,6.0,88992.39,490.34,18120.12,70.0,20.0,Low,0.17069457,0,Medium,34,4.1,85.3,28
1000044,Young Professionals,37,Female,HR Specialist,$100K-$150K,Permanent Resident,Downtown Toronto,2,Married,2.0,1,0,4.0,381892.16,1202.97,44454.79,100.0,0.0,Low,0.26950336,0,Medium,45,3.9,93.4,19
1000045,Young Professionals,35,Male,Sales Manager,$50K-$75K,Permanent Resident,Scarborough,4,Common-law,4.61,1,0,5.0,63812.67,290.25,10725.95,100.0,0.0,Low,0.072493054,0,Low,53,4.3,73.4,37
1000046,Young Professionals,24,Female,HR Specialist,$50K-$75K,Canadian Born,Other GTA,3,Married,4.44,1,0,5.0,488741.64,1162.19,42947.79,100.0,0.0,Low,0.16513422,0,Medium,29,4.1,82.5,21
1000047,Young Professionals,37,Male,Software Engineer,$100K-$150K,Temporary Resident,North York,4,Married,3.8,1,1,5.0,67859.6,318.02,11752.17,100.0,0.0,Low,0.7766677,1,Critical,45,4.3,89.4,22
1000048,Young Professionals,26,Female,Software Engineer,$100K-$150K,Canadian Born,Richmond Hill,1,Common-law,9.19,0,0,4.0,27337.59,264.35,9768.84,70.0,20.0,Low,0.040283535,0,Low,33,3.8,67.0,28
1000049,Young Professionals,37,Male,Engineer,$75K-$100K,Canadian Born,Downtown Toronto,2,Married,12.61,1,0,4.0,46932.14,257.81999999999994,9527.53,100.0,0.0,Low,0.2576052,0,Medium,35,2.9,91.7,17
1000050,Young Professionals,31,Male,Financial Analyst,$50K-$75K,Canadian Born,Brampton,5,Married,11.09,1,0,4.0,45140.16,263.6,9741.13,100.0,0.0,Low,0.4712753,1,High,31,3.7,76.5,16
1000051,Young Professionals,24,Female,Software Engineer,$75K-$100K,Canadian Born,Downtown Toronto,1,Widowed,13.29,1,0,7.0,98736.09,411.28,15198.52,85.0,0.0,Low,0.3068497,0,Medium,66,3.3,92.1,7
1000052,Young Professionals,28,Male,Engineer,$50K-$75K,Temporary Resident,Scarborough,2,Married,8.69,1,0,4.0,42007.62,282.35,10434.02,100.0,0.0,Low,0.23753612,0,Medium,40,2.9,74.0,33
1000053,Young Professionals,26,Male,Financial Analyst,$100K-$150K,Permanent Resident,Downtown Toronto,1,Single,7.75,1,0,7.0,545507.68,1242.99,45933.69,100.0,0.0,Low,0.17194173,0,Medium,41,3.8,76.9,33
1000054,Young Professionals,36,Male,Accountant,$50K-$75K,Permanent Resident,North York,2,Single,9.61,1,0,4.0,21507.64,102.35,3782.26,100.0,0.0,Low,0.46018887,1,High,12,2.4,95.5,18
1000055,Young Professionals,31,Female,Nurse,$75K-$100K,Permanent Resident,Brampton,3,Married,3.58,1,0,4.0,63433.07,412.56,15245.82,100.0,0.0,Low,0.4156709,1,High,39,3.1,98.4,30
1000056,Young Professionals,29,Female,Accountant,$75K-$100K,Permanent Resident,Mississauga,3,Common-law,6.61,0,0,5.0,60440.03999999999,488.84,18064.69,70.0,20.0,Low,0.28524956,0,Medium,52,3.4,75.9,21
1000057,Young Professionals,35,Male,Accountant,$75K-$100K,Temporary Resident,Etobicoke,1,Single,12.05,0,1,3.0,427512.78,1017.45,37599.04,70.0,20.0,Low,0.68098855,1,Critical,26,4.2,93.3,25
1000058,Young Professionals,25,Male,Marketing Manager,$100K-$150K,Canadian Born,Markham,1,Common-law,5.18,0,0,6.0,62280.33,257.88,9529.75,70.0,20.0,Low,0.49637944,1,High,51,5.0,80.5,20
1000059,Young Professionals,35,Male,Financial Analyst,$75K-$100K,Permanent Resident,Vaughan,5,Common-law,9.11,1,0,5.0,61561.71000000001,401.25,14827.87,100.0,0.0,Low,0.20870906,0,Medium,55,3.1,90.9,18
1000060,Young Professionals,26,Female,Engineer,$75K-$100K,Canadian Born,North York,2,Single,5.97,1,0,4.0,33228.78,180.15,6657.3,100.0,0.0,Low,0.50962186,1,High,16,2.4,97.9,28
1000061,Young Professionals,38,Female,HR Specialist,$100K-$150K,Temporary Resident,Downtown Toronto,2,Single,8.45,1,0,4.0,37920.23,295.39,10915.9,100.0,0.0,Low,0.13070585,0,Low,24,3.5,74.4,26
1000062,Young Professionals,24,Male,Nurse,$50K-$75K,Canadian Born,Vaughan,1,Single,7.17,1,0,5.0,35601.16,259.0,9571.14,100.0,0.0,Low,0.39314127,1,High,28,4.2,84.2,14
1000063,Young Professionals,39,Male,Accountant,$50K-$75K,Canadian Born,Richmond Hill,3,Married,7.53,1,0,4.0,22845.01,129.49,4785.2,100.0,0.0,Low,0.3662385,0,High,17,3.6,85.0,19
1000064,Young Professionals,33,Female,Software Engineer,$100K-$150K,Permanent Resident,Richmond Hill,2,Common-law,5.66,0,0,3.0,28205.27,169.85,6276.67,70.0,20.0,Low,0.26632032,0,Medium,17,3.3,86.5,38
1000065,Young Professionals,30,Female,HR Specialist,$75K-$100K,Permanent Resident,Etobicoke,2,Single,8.91,1,0,6.0,94562.81,794.55,29361.95,100.0,0.0,Low,0.24445112,0,Medium,23,3.0,99.2,17
1000066,Young Professionals,34,Male,Engineer,$50K-$75K,Canadian Born,Downtown Toronto,4,Married,2.87,1,0,6.0,97364.6,658.6800000000001,24340.99,100.0,0.0,Low,0.22094303,0,Medium,24,3.2,89.8,22
1000067,Young Professionals,33,Female,Software Engineer,$75K-$100K,Permanent Resident,Other GTA,3,Married,4.35,0,0,6.0,111026.29,657.75,24306.62,70.0,20.0,Low,0.20433323,0,Medium,55,3.8,72.5,14
1000068,Young Professionals,32,Female,Engineer,$75K-$100K,Temporary Resident,Downtown Toronto,3,Married,14.46,1,0,6.0,104037.51,705.38,26066.75,100.0,0.0,Low,0.1935033,0,Medium,15,3.5,92.5,11
1000069,Young Professionals,30,Male,HR Specialist,$100K-$150K,Temporary Resident,Markham,2,Single,14.77,1,0,3.0,19884.86,170.88,6314.73,100.0,0.0,Low,0.19493166,0,Medium,56,2.1,78.6,24
1000070,Young Professionals,39,Male,Nurse,$50K-$75K,Temporary Resident,Scarborough,3,Single,14.79,1,0,3.0,5383.26,73.37,2711.33,100.0,0.0,Low,0.42914483,1,High,28,3.5,81.9,21
1000071,Young Professionals,28,Male,HR Specialist,$50K-$75K,Permanent Resident,Downtown Toronto,1,Married,12.38,1,0,5.0,70245.11,367.63,13585.47,100.0,0.0,Low,0.39143214,1,High,40,4.2,80.1,19
1000072,Young Professionals,24,Female,Sales Manager,$75K-$100K,Canadian Born,North York,3,Common-law,11.16,1,0,5.0,73714.57,522.7,19315.96,100.0,0.0,Low,0.17047931,0,Medium,46,3.5,91.2,22
1000073,Young Professionals,28,Male,Engineer,$100K-$150K,Temporary Resident,Brampton,1,Common-law,0.69,1,0,6.0,80096.98,742.88,27452.53,100.0,10.0,Low,0.060235087,0,Low,36,4.4,80.5,16
1000074,Young Professionals,38,Male,Marketing Manager,$50K-$75K,Canadian Born,Richmond Hill,1,Single,8.96,1,0,2.0,29026.58,160.61,5935.21,80.0,25.0,Low,0.12882775,0,Low,54,2.2,74.0,35
1000075,Young Professionals,30,Male,Sales Manager,$100K-$150K,Permanent Resident,Downtown Toronto,2,Widowed,14.98,1,0,5.0,645096.4299999999,2346.16,86700.45,100.0,0.0,Low,0.12065104,0,Low,37,3.9,81.6,22
1000076,Young Professionals,24,Female,Nurse,$75K-$100K,Canadian Born,Scarborough,1,Single,13.75,1,0,7.0,102962.4,665.21,24582.3,100.0,15.0,Low,0.11018031,0,Low,1,2.3,91.2,30
1000077,Young Professionals,39,Male,Engineer,$100K-$150K,Temporary Resident,Markham,2,Single,5.31,0,0,6.0,61322.33,268.08,9906.68,70.0,20.0,Low,0.45577094,1,High,12,4.0,83.8,15
1000078,Young Professionals,32,Female,Marketing Manager,$100K-$150K,Temporary Resident,Mississauga,3,Single,13.66,1,0,7.0,96522.06,447.96,16554.0,100.0,0.0,Low,0.31976604,0,Medium,36,2.8,80.7,13
1000079,Young Professionals,26,Male,Financial Analyst,$50K-$75K,Permanent Resident,Markham,3,Married,13.15,1,0,3.0,14530.73,36.22,1338.48,100.0,0.0,Low,0.46480158,1,High,28,2.5,82.8,34
1000080,Young Professionals,33,Female,Engineer,$50K-$75K,Temporary Resident,North York,2,Single,12.27,1,0,7.0,79030.82,431.52,15946.47,100.0,0.0,Low,0.42178828,1,High,41,3.4,91.7,18
1000081,Young Professionals,36,Male,Accountant,$100K-$150K,Temporary Resident,Downtown Toronto,1,Single,6.64,1,0,5.0,419837.54,1275.78,47145.42,100.0,0.0,Low,0.12598395,0,Low,74,3.3,73.0,16
1000082,Young Professionals,28,Male,Accountant,$100K-$150K,Canadian Born,Scarborough,1,Married,4.86,1,0,6.0,107654.35,612.52,22635.18,100.0,0.0,Low,0.034077715,0,Low,25,3.3,91.4,33
1000083,Young Professionals,31,Male,Nurse,$50K-$75K,Canadian Born,Richmond Hill,1,Married,6.39,1,0,5.0,67013.38,397.46,14687.81,100.0,0.0,Low,0.32654598,0,Medium,24,4.1,97.3,23
1000084,Young Professionals,30,Female,Nurse,$75K-$100K,Canadian Born,Scarborough,1,Married,11.76,1,0,5.0,46753.18,462.14,17078.01,100.0,0.0,Low,0.46930724,1,High,42,4.5,82.5,22
1000085,Young Professionals,35,Male,Marketing Manager,$75K-$100K,Permanent Resident,Brampton,1,Single,13.97,1,0,4.0,22332.89,195.13,7210.87,100.0,0.0,Low,0.3139295,0,Medium,30,3.6,82.2,24
1000086,Young Professionals,25,Male,Software Engineer,$50K-$75K,Canadian Born,Mississauga,1,Married,3.03,1,0,5.0,467758.8900000001,1341.65,49579.59,100.0,0.0,Low,0.35562426,0,High,44,2.6,93.0,24
1000087,Young Professionals,31,Female,Software Engineer,$75K-$100K,Canadian Born,Markham,4,Single,12.84,0,0,6.0,98817.89,730.27,26986.54,70.0,20.0,Low,0.25935942,0,Medium,49,3.4,77.7,17
1000088,Young Professionals,39,Male,Accountant,$100K-$150K,Temporary Resident,Scarborough,3,Married,14.77,1,0,6.0,549871.07,1257.05,46453.27,100.0,0.0,Low,0.061900344,0,Low,8,1.6,74.0,34
1000089,Young Professionals,34,Male,Marketing Manager,$100K-$150K,Permanent Resident,Downtown Toronto,1,Married,1.4,1,0,6.0,571061.38,1457.04,53843.74,100.0,0.0,Low,0.39224032,1,High,42,3.4,81.8,22
1000090,Young Professionals,37,Female,Marketing Manager,$50K-$75K,Canadian Born,Downtown Toronto,3,Single,13.38,1,0,7.0,410311.04,1425.27,52669.7,100.0,0.0,Low,0.22002186,0,Medium,31,3.3,89.1,17
1000091,Young Professionals,28,Non-binary/Other,Software Engineer,$75K-$100K,Permanent Resident,Downtown Toronto,4,Common-law,0.49,1,0,5.0,39768.96000000001,184.39,6813.98,100.0,10.0,Low,0.33008763,0,Medium,30,5.0,72.4,21
1000092,Young Professionals,26,Female,Marketing Manager,$50K-$75K,Canadian Born,Brampton,4,Single,1.0,1,0,5.0,34131.79,159.8,5905.28,100.0,0.0,Low,0.24360918,0,Medium,14,3.5,75.8,18
1000093,Young Professionals,37,Female,Sales Manager,$50K-$75K,Permanent Resident,Scarborough,3,Married,3.99,1,0,7.0,113997.2,788.15,29125.45,100.0,0.0,Low,0.32917178,0,Medium,79,3.3,96.3,20
1000094,Young Professionals,35,Female,HR Specialist,$100K-$150K,Canadian Born,Markham,2,Married,6.43,1,0,7.0,101772.96,839.52,31023.78,100.0,0.0,Low,0.2605448,0,Medium,37,2.3,75.4,31
1000095,Young Professionals,34,Male,Nurse,$75K-$100K,Temporary Resident,Downtown Toronto,1,Common-law,10.32,0,0,4.0,19250.08,174.02999999999997,6431.14,70.0,20.0,Low,0.43077967,1,High,41,4.8,80.8,20
1000096,Young Professionals,29,Female,Nurse,$75K-$100K,Permanent Resident,Mississauga,3,Married,11.07,0,0,4.0,30497.22,121.02,4472.2,70.0,20.0,Low,0.3447579,0,Medium,31,3.5,71.1,30
1000097,Young Professionals,31,Female,Software Engineer,$100K-$150K,Temporary Resident,Downtown Toronto,1,Married,13.58,1,0,7.0,91994.97,677.56,25038.68,100.0,0.0,Low,0.192572,0,Medium,58,3.1,84.4,33
1000098,Young Professionals,39,Female,Nurse,$75K-$100K,Permanent Resident,Scarborough,3,Married,10.86,1,0,5.0,49072.22,175.02,6467.72,100.0,0.0,Low,0.33587837,0,Medium,64,3.0,93.4,15
1000099,Young Professionals,33,Male,HR Specialist,$75K-$100K,Permanent Resident,Scarborough,1,Single,7.15,1,0,5.0,60434.16,303.55,11217.45,100.0,0.0,Low,0.3162145,0,Medium,21,3.3,72.3,20
1000100,Young Professionals,24,Male,HR Specialist,$75K-$100K,Temporary Resident,Richmond Hill,1,Single,3.84,1,0,4.0,37001.61,251.52,9294.72,100.0,0.0,Low,0.35201153,0,High,36,3.9,84.7,17
1000101,Young Professionals,24,Male,Nurse,$50K-$75K,Permanent Resident,Vaughan,3,Married,4.08,1,0,6.0,80031.55,667.6400000000001,24672.1,100.0,0.0,Low,0.33897942,0,Medium,33,4.5,92.8,26
1000102,Young Professionals,26,Female,Marketing Manager,$100K-$150K,Temporary Resident,Other GTA,5,Divorced,11.53,1,0,6.0,52310.5,359.67,13291.31,100.0,0.0,Low,0.16887325,0,Medium,17,3.1,84.6,22
1000103,Young Professionals,39,Male,Marketing Manager,$100K-$150K,Temporary Resident,Mississauga,2,Single,8.41,1,0,5.0,88697.27,615.63,22750.11,100.0,0.0,Low,0.41524193,1,High,53,3.1,76.2,16
1000104,Young Professionals,25,Female,Sales Manager,$100K-$150K,Canadian Born,Scarborough,2,Common-law,8.87,0,0,4.0,39660.04,182.32,6737.49,70.0,20.0,Low,0.43730116,1,High,23,3.6,80.5,18
1000105,Young Professionals,33,Female,HR Specialist,$100K-$150K,Canadian Born,North York,4,Single,2.03,1,0,3.0,27912.2,202.71,7490.98,100.0,0.0,Low,0.32852167,0,Medium,47,3.0,87.3,17
1000106,Young Professionals,26,Female,Financial Analyst,$75K-$100K,Temporary Resident,Scarborough,2,Single,10.73,1,0,3.0,25933.69,250.13,9243.35,100.0,0.0,Low,0.22199555,0,Medium,35,2.9,85.6,23
1000107,Young Professionals,24,Female,HR Specialist,$50K-$75K,Permanent Resident,Etobicoke,2,Married,13.35,1,0,4.0,44537.16,402.81,14885.52,100.0,0.0,Low,0.36891708,0,High,30,2.7,70.9,16
1000108,Young Professionals,29,Female,Financial Analyst,$100K-$150K,Temporary Resident,Downtown Toronto,2,Single,14.3,1,1,5.0,49247.06,296.74,10965.79,100.0,0.0,Low,0.5483453,1,High,40,3.0,86.8,25
1000109,Young Professionals,30,Male,Software Engineer,$100K-$150K,Permanent Resident,Etobicoke,2,Married,13.77,1,0,7.0,438800.2,1120.48,41406.43,100.0,0.0,Low,0.15393516,0,Medium,15,2.9,69.7,14
1000110,Young Professionals,26,Male,Sales Manager,$100K-$150K,Canadian Born,Vaughan,2,Single,11.19,1,0,4.0,53466.13,291.04,10755.15,100.0,0.0,Low,0.39249018,1,High,40,3.9,79.6,16
1000111,Young Professionals,34,Female,Accountant,$100K-$150K,Canadian Born,Vaughan,2,Married,11.32,1,0,3.0,41767.1,278.8,10302.83,100.0,0.0,Low,0.22335906,0,Medium,25,3.4,79.6,25
1000112,Young Professionals,28,Male,Marketing Manager,$100K-$150K,Canadian Born,Downtown Toronto,3,Single,1.17,0,0,6.0,43743.04,155.49,5746.01,70.0,20.0,Low,0.11452312,0,Low,47,3.7,75.9,19
1000113,Young Professionals,30,Female,Engineer,$75K-$100K,Permanent Resident,Etobicoke,5,Single,7.05,1,0,6.0,96720.3,418.13,15451.66,100.0,0.0,Low,0.21972232,0,Medium,38,4.0,88.3,31
1000114,Young Professionals,39,Male,Sales Manager,$50K-$75K,Temporary Resident,Markham,5,Married,0.84,1,0,2.0,2590.83,3.33,123.06,80.0,35.0,Medium,0.31915677,0,Medium,48,4.2,79.6,21
1000115,Young Professionals,29,Female,HR Specialist,$75K-$100K,Permanent Resident,Mississauga,3,Married,5.65,0,0,4.0,59871.9,380.29,14053.31,70.0,20.0,Low,0.43101868,1,High,25,5.0,81.5,26
1000116,Young Professionals,27,Male,Engineer,$75K-$100K,Permanent Resident,Downtown Toronto,1,Married,5.3,1,0,6.0,448834.92,1464.36,54114.24,100.0,0.0,Low,0.56221724,1,High,21,3.7,90.7,12
1000117,Young Professionals,28,Male,Software Engineer,$50K-$75K,Temporary Resident,Richmond Hill,1,Married,5.07,1,0,3.0,27342.04,247.41,9142.84,100.0,0.0,Low,0.43414164,1,High,55,3.0,100.0,26
1000118,Young Professionals,36,Female,Financial Analyst,$100K-$150K,Temporary Resident,North York,2,Married,4.43,0,0,4.0,72841.55,432.44,15980.47,70.0,20.0,Low,0.31153473,0,Medium,41,3.7,92.6,23
1000119,Young Professionals,35,Male,Marketing Manager,$100K-$150K,Temporary Resident,Scarborough,3,Single,9.48,1,0,5.0,40175.81,179.9,6648.06,100.0,0.0,Low,0.35188225,0,High,29,3.1,76.2,25
1000120,Young Professionals,39,Female,Accountant,$100K-$150K,Temporary Resident,Scarborough,2,Married,6.8,1,0,4.0,34612.95,194.99,7205.7,100.0,0.0,Low,0.2703035,0,Medium,61,3.1,90.7,11
1000121,Young Professionals,36,Female,Financial Analyst,$50K-$75K,Temporary Resident,Other GTA,3,Common-law,13.71,0,0,6.0,484042.61,1143.09,42241.97,70.0,20.0,Low,0.12990977,0,Low,4,3.9,97.2,19
1000122,Young Professionals,34,Female,Nurse,$75K-$100K,Canadian Born,North York,2,Married,3.79,1,0,4.0,38852.61,344.76,12740.33,100.0,0.0,Low,0.44709256,1,High,25,2.9,81.3,23
